Age     Sea_Level  d18o
104888	-31	   0.25
105581	-37	   0.3
106505	-33	   0.27
106967	-42	   0.34
107198	-34	   0.28
107660	-42	   0.34
108006	-28	   0.23
108699	-44	   0.36
109161	-63	   0.51
109392	-44	   0.36
109623	-42	   0.34
110085	-51	   0.42
110315	-46	   0.38
110777	-59	   0.48
111239	-51	   0.42
111470	-29	   0.24
112048	-49	   0.4
112279	-27	   0.22
112740	-14	   0.12
113202	-20	   0.16
113664	-14	   0.12
114126	-14	   0.11
114357	-14	   0.11
114819	-8	   0.06
115050	-7	   0.06
115627	-3	   0.02
116089	-6	   0.05
116551	-22	   0.18
116782	-14	   0.12
117244	-13	   0.11
117590	-1	   0.01
118283	1	   -0.01
118861	3	   -0.03
119554	1	   -0.01
119900	5	   -0.04
120491	-7	   0.06
120787	2	   -0.01
121280	3	   -0.02
121871	3	   -0.02
122463	10	   -0.08
122758	6	   -0.05
123251	9	   -0.07
123547	-2	   0.02
124138	5	   -0.04
124730	3	   -0.03
125518	5	   -0.04
126110	3	   -0.02
126405	2	   -0.02
127588	-2	   0.01
128081	0	   0.0
128377	0	   0.0
128869	-14	   0.11
129067	-24	   0.2
129757	-36	   0.3
130249	-14	   0.12
130742	-59	   0.48
132516	-54	   0.44
133206	-93	   0.76
134981	-82	   0.67
135473	-95	   0.78
135966	-76	   0.62
136656	-86	   0.7
137149	-137	   1.12
137642	-127	   1.04
138233	-105	   0.86
138627	-113	   0.93
138923	-98	   0.8
139909	-101	   0.83
140303	-98	   0.81
140796	-98	   0.81
141683	-108	   0.88
142176	-111	   0.91
142570	-96	   0.78
142964	-99	   0.81
143556	-103	   0.84
143950	-94	   0.77
144246	-90	   0.74
144837	-98	   0.81
145231	-94	   0.77
146118	-95	   0.78
147695	-92	   0.75
148681	-89	   0.73
149075	-90	   0.74
149470	-86	   0.7
149963	-84	   0.69
150751	-89	   0.73
151737	-99	   0.81
152624	-97	   0.79
153018	-114	   0.93
153412	-117	   0.96
154004	-79	   0.65
154694	-97	   0.79
155384	-77	   0.63
155876	-94	   0.77
156369	-90	   0.74
156862	-79	   0.65
158636	-64	   0.52
